objid,ra,dec,petror90_r,g,r,i,z,subClass,logMass,SFR
1237648722300043569,169.949437704846,0.764538119508644,6.031725,18.11217,17.29089,16.86354,0.1859561,AGN,10.49,2.2
1237674648851054634,171.035979482426,-1.157750523503,12.39604,15.08219,14.43113,14.07134,0.02933633,AGN,10.29,1.0
1237648721226498262,170.389730931702,-0.0298024517236863,6.01439,17.21457,16.49441,16.07847,0.06895068,AGN,9.89,0.2
1237648721763369073,170.273924584391,0.231186057258001,5.724076,18.08183,17.13426,16.68419,0.106697,AGN,10.26,0.3
1237663543145201965,328.246161423295,-0.150963780038874,14.98971,15.7643,14.81436,14.32226,0.02765079,AGN,10.16,0.1
1237656567044636812,326.958391383758,-1.14928442502221,5.153544,18.84894,17.9079,17.45846,0.1594131,AGN,10.3,0.1
1237663543681483163,326.897929059421,0.368835713134202,8.731879,17.60825,16.75847,16.2695,0.07538806,AGN,10.14,0.2
1237678617940328659,327.22671558111,1.21612823058585,5.062964,17.38136,16.46637,15.98674,0.07267691,AGN,10.51,1.0
1237663543682203844,328.577932041511,0.355393212854786,17.1967,14.8873,14.16247,13.75479,0.06712813,AGN,11.21,1.4
1237666091662442643,16.6220890656131,15.2470553290061,4.604572,18.10849,17.18373,16.76625,0.1678278,AGN,10.67,3.9
1237651494687801517,128.579154708993,51.8418600625905,10.16939,18.44967,17.43388,17.01967,0.2505425,AGN,10.7,2.2
1237651272960901317,127.912863590493,52.7015576016772,14.83442,16.51132,15.81371,15.39751,0.05864288,AGN,10.07,0.3
1237674460949774684,135.329567243325,0.0122624678846213,4.618021,18.49533,17.62948,17.21358,0.1731861,AGN,10.5,1.3
1237651272440610949,203.234058541642,66.0640223861803,5.133553,18.56232,17.6996,17.27425,0.1746544,AGN,10.34,0.9
1237654605319045249,144.766969228413,3.70202093484057,3.140502,18.91528,17.98365,17.47647,0.1269271,AGN,10.41,0.8
1237654601561735420,146.27663623391,3.93086748000244,6.107699,17.78055,16.99729,16.67263,0.1559069,AGN,10.63,5.9
1237654602635542776,146.345264567918,4.74972117039701,6.267874,17.86155,16.99307,16.5182,0.1457681,AGN,10.6,0.8
1237654601026044148,148.969836068401,3.68914891822104,4.286714,17.83844,17.05731,16.65586,0.09216592,AGN,10.07,0.2
1237654602098802806,146.552497062594,4.47430183094697,7.062947,18.44627,17.32161,16.79159,0.1664076,AGN,10.66,0.6
1237654604247662711,150.238562024458,3.14180134778876,16.8809,15.01881,14.18796,13.78079,0.02927641,AGN,10.59,0.7
1237654604784599100,150.399188397415,3.61329524663107,14.19386,15.20862,14.59621,14.2369,0.04266481,AGN,10.38,3.3
1237654605321273527,149.926881717182,4.01508767505694,7.554242,17.5051,16.85072,16.45131,0.1212946,AGN,10.22,0.1
1237654601026043913,148.858689664469,3.76934229808037,6.640406,16.65656,15.93638,15.47892,0.05744372,AGN,10.03,0.8
1237658297920061598,150.918283768944,4.97243199392019,4.403424,18.30997,17.39449,16.95953,0.1237488,AGN,10.45,1.8
1237654605859324185,152.506562186031,4.50555452338145,6.209296,18.69885,17.59544,17.10924,0.210587,AGN,10.69,2.1
1237652943700951572,333.640119445732,13.1650836416029,5.65188,19.11126,17.98104,17.4503,0.1431571,AGN,10.56,0.7
1237656241698767101,336.053240921759,13.0123977505387,3.564501,18.45668,17.52081,17.01629,0.1186557,AGN,10.5,1.2
1237656240624763473,335.625804729082,11.9882758113531,5.180492,18.53379,17.79985,17.33857,0.1275788,AGN,9.99,0.7
1237656243309248827,335.588312641427,14.2222301585206,4.035415,18.58694,17.55699,17.12639,0.1185975,AGN,10.65,0.2
1237678600221294883,335.906161748184,14.4265364206494,6.787044,18.22329,17.27713,16.83894,0.1512972,AGN,10.56,0.6
1237656241163010406,338.763606952365,12.8591800842517,6.464843,18.60631,17.61177,17.0917,0.146828,AGN,10.5,0.8
1237666183487488288,337.348663736436,13.2290176990432,5.826704,18.47418,17.56265,17.09902,0.1308535,AGN,10.25,0.8
1237680090575995111,338.2822417495,14.6414883610763,4.114122,18.37367,17.49014,16.99421,0.08751936,AGN,10.23,0.7
1237666183487816229,337.92958874631,13.7459475786983,3.979002,19.24243,18.026,17.48242,0.2234165,AGN,10.83,1.3
1237666183487750704,337.831708517401,13.7354750965034,4.564746,18.76838,17.65446,17.15284,0.2081734,AGN,10.66,0.4
1237656242236686354,338.437357485535,13.6479238465798,2.693686,18.45839,17.5466,17.03738,0.1003831,AGN,10.35,0.9
1237656496715464843,339.227338084444,14.414464481499,22.73434,15.13392,14.31618,13.86481,0.03645531,AGN,10.73,1.6
1237656241700667838,340.612109760369,13.340191861085,4.369885,18.68631,17.91035,17.53897,0.1596828,AGN,10.16,1.0
1237656243310756295,339.204784387141,14.4760398616456,4.269285,18.53043,17.58685,17.08556,0.1156211,AGN,10.52,1.3
1237656243310624914,338.887467437272,14.4408942546035,7.201066,17.40967,16.69256,16.25064,0.08312731,AGN,10.33,2.6
1237656243311935673,341.886325929867,14.789411907021,4.899847,18.41691,17.6019,17.16616,0.2070002,AGN,10.36,2.6
1237652943168471340,343.897183326229,13.8471186782015,7.005335,18.29458,17.34371,16.81711,0.2020044,AGN,10.64,1.0
1237652942631534829,343.79134060398,13.5325096820643,4.417075,17.77261,16.87162,16.41393,0.1035822,AGN,10.33,0.1
1237656494032879765,343.471239598672,12.8434632462801,5.420513,18.36792,17.35863,16.8103,0.1171104,AGN,10.41,0.1
