objid,ra,dec,petror90_r,g,r,i,z,subClass,logMass,SFR
1237658312408236252,203.174068575783,59.0311206548179,7.643079,17.63674,17.03994,16.66084,0.1197885,STARBURST,10.29,3.0
1237648720173727906,218.158039612642,-0.886056693966639,4.372209,18.5508,18.19537,17.86835,0.1162567,STARBURST,9.47,2.2
1237648720701161741,196.658902618476,-0.453584369637943,3.871142,17.90531,17.47431,17.10497,0.08520246,STARBURST,9.63,1.3
1237671763712671879,191.627713382251,-0.381837646547236,8.954477,17.78295,17.33799,17.02777,0.08230554,STARBURST,9.41,0.2
1237648720162717906,193.124638684861,-0.997670730357639,4.207272,17.54447,17.11698,16.78234,0.06995335,STARBURST,9.57,1.2
1237648705652392052,187.00883531504,0.972222473440074,2.542197,19.44501,19.14002,18.74731,0.09578133,STARBURST,9.08,0.6
1237648721225777217,168.607139517781,-0.203578133330965,2.928327,18.52099,18.06623,17.80482,0.07226484,STARBURST,8.91,0.1
1237648722833768485,162.715778444313,1.16709140051566,15.46559,16.13391,15.85591,15.59155,0.03926414,STARBURST,9.19,0.6
1237658302742659215,162.866991663911,57.5840147545965,4.547008,17.37812,16.84521,16.46566,0.07312707,STARBURST,10.15,2.6
1237657630595809413,158.916528771157,50.3900066473932,2.140198,18.5379,18.15666,17.87133,0.04224816,STARBURST,8.82,0.2
1237657192518189255,5.36897235298483,1.11682190694611,2.112356,20.23141,19.67819,19.37088,0.2328119,STARBURST,9.37,1.5
1237657070089208126,36.1130781836801,-0.585457992880189,2.836077,20.45876,19.58922,19.26938,0.3283675,STARBURST,10.08,3.2
1237656906346529027,340.539719765433,-1.00606368569198,2.550287,19.01689,18.64876,18.29698,0.1170554,STARBURST,9.28,1.4
1237655108919099571,204.15628690001,59.0590352102611,2.888534,18.16127,17.87286,17.54844,0.0652264,STARBURST,9.09,0.7
1237653650763022603,4.34212650884331,14.1142136710735,3.932513,18.83093,18.10983,17.7045,0.2299934,STARBURST,10.44,7.4
1237652942622425520,322.625600317843,10.6774178943074,4.711936,17.66085,17.40405,17.12234,0.06059924,STARBURST,9.06,1.1
