objid,ra,dec,petror90_r,g,r,i,z,subClass,logMass,SFR
1237650795683446947,146.901262949608,-0.413156095894869,3.781939,18.11534,17.11774,16.61889,0.05654794,STARFORMING,9.86,0.1
1237648721216209095,146.859679204878,-0.0989446229054819,3.925271,18.8851,17.95865,17.43681,0.1253916,STARFORMING,10.18,1.1
1237650794609246465,145.890597628409,-1.09759959260174,8.713748,16.701,16.19279,15.85297,0.06248942,STARFORMING,9.88,1.3
1237650795683250311,146.352081031871,-0.332714235089656,4.373432,17.24818,16.48892,16.02247,0.05217639,STARFORMING,9.78,0.3
1237648721215815838,145.877376522509,-0.0501882228137694,6.052739,18.2925,17.38795,16.85716,0.09099656,STARFORMING,10.05,0.3
1237650794609049842,145.351453696162,-1.2385364802871,6.082222,18.08052,17.46687,17.08977,0.09067135,STARFORMING,9.72,0.2
1237648722289557713,145.992634603695,0.788073239888891,5.121801,17.21716,16.41332,15.96558,0.03801033,STARFORMING,9.89,0.5
1237650796219924616,145.939699621311,0.116911696409504,3.794356,18.20614,17.44251,17.01286,0.1454365,STARFORMING,10.45,2.3
1237650796756992213,146.406258940159,0.604106361047704,6.919429,18.34645,17.63799,17.25416,0.05756393,STARFORMING,9.47,0.4
1237648721216929817,148.434746818095,-0.090499073760558,8.680659,16.80865,16.18735,15.75294,0.08368891,STARFORMING,10.23,1.2
1237650794610163857,147.906626397832,-1.17036934795358,4.305678,18.08379,17.48936,17.15724,0.06287614,STARFORMING,9.29,0.2
1237650797294583880,148.035605944881,0.973142335506394,7.509554,18.36568,17.70065,17.31312,0.08794834,STARFORMING,9.93,0.5
1237648722290737341,148.558944231559,0.638309302017811,16.02328,15.31117,14.74912,14.44087,0.03467124,STARFORMING,9.85,0.8
1237648722290737336,148.551664352225,0.805309713295737,4.453097,17.24614,16.5721,16.18689,0.02883614,STARFORMING,9.37,0.2
1237651801770426528,148.810408680165,0.612909349763483,4.46172,17.97689,17.65519,17.38857,0.04755318,STARFORMING,8.73,0.3
